prompt,class1,class2,is_natural
A sandwich on a whale.,sandwich,whale,0
A spider on a couch.,spider,couch,1
A baseball bat on a plate.,baseball bat,plate,0
A pear on a bench.,pear,bench,0
A pear on a dolphin.,pear,dolphin,0
A dog on a surfboard.,dog,surfboard,0
A bee on a suitcase.,bee,suitcase,0
A sunflower on a leopard.,sunflower,leopard,0
A tulip on a whale.,tulip,whale,0
A bowl on a whale.,bowl,whale,0
An elephant on a couch.,elephant,couch,0
A fork on a leopard.,fork,leopard,0
A squirrel on a refrigerator.,squirrel,refrigerator,0
A knife on a dinosaur.,knife,dinosaur,0
A bottle on a couch.,bottle,couch,0
A fork on a suitcase.,fork,suitcase,0
A baseball glove on a leopard.,baseball glove,leopard,0
A knife on a television.,knife,television,0
A lamp on a snowboard.,lamp,snowboard,0
A raccoon on a leopard.,raccoon,leopard,0
A wolf on a snowboard.,wolf,snowboard,0
A sheep on a bench.,sheep,bench,0
A book on a car.,book,car,0
An orchid on a table.,orchid,table,1
A broccoli on a dolphin.,broccoli,dolphin,0
A snake on a cloud.,snake,cloud,0
A pear on a bicycle.,pear,bicycle,0
A stop sign on a bench.,stop sign,bench,0
A stop sign on a car.,stop sign,car,0
A wardrobe on a pickup truck.,wardrobe,pickup truck,1
A chimpanzee on a chair.,chimpanzee,chair,0
A stop sign on a table.,stop sign,table,0
A bowl on a bridge.,bowl,bridge,0
A raccoon on a truck.,raccoon,truck,0
A pear on a chair.,pear,chair,0
A frisbee on a cloud.,frisbee,cloud,0
A lobster on a whale.,lobster,whale,0
A mushroom on a car.,mushroom,car,0
A sheep on a snowboard.,sheep,snowboard,0
A baseball bat on a snowboard.,baseball bat,snowboard,0
A baseball glove on a plate.,baseball glove,plate,0
A remote on a snowboard.,remote,snowboard,0
A kite on a table.,kite,table,0
A clock on a train.,clock,train,0
A tv on a bridge.,tv,bridge,0
A dog on a bridge.,dog,bridge,1
A book on a surfboard.,book,surfboard,0
A can on a bridge.,can,bridge,0
A knife on a leopard.,knife,leopard,0
A boy on a bicycle.,boy,bicycle,1
A porcupine on a mountain.,porcupine,mountain,1
A bottle on a mountain.,bottle,mountain,0
A lizard on a palm tree.,lizard,palm tree,1
A microwave on a table.,microwave,table,1
A crocodile on a bridge.,crocodile,bridge,0
A bag on a couch.,bag,couch,1
