prompt,3,7,11,15,19,23,seed
A bottle.,5,5,10,10,10.0,10.0,0.0
A bottle.,5,0,0,10,10.0,10.0,1.0
A bottle.,5,0,10,10,10.0,10.0,2.0
A bottle.,2,0,0,10,10.0,10.0,3.0
A banana.,0,0,10,10,10.0,10.0,0.0
A banana.,1,0,10,10,10.0,10.0,1.0
A banana.,0,4,10,10,10.0,10.0,2.0
A banana.,0,1,8,10,10.0,10.0,3.0
A bird.,0,6,0,0,0.0,10.0,0.0
A bird.,4,10,0,0,1.0,10.0,1.0
A bird.,2,0,0,0,0.0,10.0,2.0
A bird.,2,0,0,0,0.0,10.0,3.0
A hamster.,2,"0,0",10,0,1.0,10.0,0.0
A hamster.,0,0,0,10,10.0,10.0,1.0
A hamster.,0,0,0,10,0.0,10.0,2.0
A hamster.,"0,0",0,0,0,0.0,0.0,3.0
A boy.,7,5,0,0,0.0,0.0,0.0
A boy.,4,0,4,0,1.0,9.0,1.0
A boy.,0,7,5,0,5.0,0.0,2.0
A boy.,0,0,5,5,6.0,10.0,3.0
A plain.,2,0,0,0,0.0,7.0,0.0
A plain.,0,0,0,0,2.0,0.0,1.0
A plain.,0,1,0,0,0.0,1.0,2.0
A plain.,2,0,0,0,0.0,7.0,3.0
A frisbee.,5,8,0,7,10.0,10.0,0.0
A frisbee.,4,8,10,8,10.0,10.0,1.0
A frisbee.,0,6,10,10,10.0,10.0,2.0
A frisbee.,2,10,1,8,10.0,10.0,3.0
A sink.,0,0,10,10,8.0,10.0,0.0
A sink.,2,0,10,10,10.0,10.0,1.0
A sink.,0,10,10,9,10.0,10.0,2.0
A sink.,2,5,8,10,10.0,10.0,3.0
A caterpillar.,0,1,10,10,10.0,10.0,0.0
A caterpillar.,0,0,0,8,10.0,10.0,1.0
A caterpillar.,2,0,1,0,10.0,10.0,2.0
A caterpillar.,0,1,"0,0",10,10.0,10.0,3.0
A pizza.,7,10,10,10,10.0,10.0,0.0
A pizza.,7,10,10,10,10.0,10.0,1.0
A pizza.,0,3,0,10,10.0,10.0,2.0
A pizza.,0,0,10,10,9.0,10.0,3.0
A ray.,"1,0",0,0,0,5.0,10.0,0.0
A ray.,"0,0",0,"0,0",1,0.0,8.0,1.0
A ray.,1,5,1,8,0.0,0.0,2.0
A ray.,0,1,"0,0",0,0.0,10.0,3.0
A flatfish.,0,2,8,8,8.0,7.0,0.0
A flatfish.,3,8,10,7,10.0,8.0,1.0
A flatfish.,0,0,10,0,10.0,10.0,2.0
A flatfish.,0,0,0,0,0.0,10.0,3.0
A toaster.,2,0,10,10,10.0,10.0,0.0
A toaster.,1,"0,0",10,10,10.0,10.0,1.0
A toaster.,3,0,10,10,10.0,10.0,2.0
A toaster.,0,0,10,10,0.0,10.0,3.0
A tulip.,0,0,7,6,10.0,10.0,0.0
A tulip.,1,0,9,6,10.0,10.0,1.0
A tulip.,3,10,0,10,10.0,10.0,2.0
A tulip.,1,0,10,10,10.0,10.0,3.0
A mouse.,0,10,8,10,10.0,10.0,0.0
A mouse.,0,8,10,10,10.0,10.0,1.0
A mouse.,0,10,9,0,10.0,10.0,2.0
A mouse.,0,0,10,8,10.0,10.0,3.0
A wolf.,3,10,6,10,10.0,10.0,0.0
A wolf.,2,8,9,10,8.0,10.0,1.0
A wolf.,6,7,10,10,8.0,10.0,2.0
A wolf.,0,5,6,10,10.0,10.0,3.0
A tv.,1,2,0,7,10.0,10.0,0.0
A tv.,1,1,8,10,10.0,10.0,1.0
A tv.,0,0,10,10,10.0,10.0,2.0
A tv.,2,0,0,10,2.0,10.0,3.0
A bridge.,4,1,8,9,10.0,10.0,0.0
A bridge.,0,1,6,7,10.0,8.0,1.0
A bridge.,2,6,10,8,10.0,10.0,2.0
A bridge.,5,8,7,10,10.0,10.0,3.0
A rocket.,2,0,8,10,10.0,8.0,0.0
A rocket.,0,0,0,10,10.0,10.0,1.0
A rocket.,0,6,8,10,0.0,10.0,2.0
A rocket.,1,7,0,10,8.0,10.0,3.0
A tiger.,3,7,10,10,10.0,10.0,0.0
A tiger.,0,0,9,10,10.0,10.0,1.0
A tiger.,0,10,10,8,10.0,10.0,2.0
A tiger.,0,0,10,10,10.0,10.0,3.0
A clock.,6,10,10,10,10.0,10.0,0.0
A clock.,8,10,10,10,10.0,10.0,1.0
A clock.,6,10,10,10,10.0,10.0,2.0
A clock.,1,10,10,10,10.0,10.0,3.0
A cow.,5,8,10,10,10.0,10.0,0.0
A cow.,0,0,10,10,10.0,10.0,1.0
A cow.,1,10,10,8,10.0,10.0,2.0
A cow.,0,10,10,10,10.0,10.0,3.0
A forest.,0,0,10,8,8.0,10.0,0.0
A forest.,1,0,8,7,8.0,10.0,1.0
A forest.,2,5,9,7,10.0,10.0,2.0
A forest.,1,0,8,1,10.0,10.0,3.0
A car.,2,4,9,2,4.0,10.0,0.0
A car.,8,0,10,1,10.0,10.0,1.0
A car.,1,0,0,10,10.0,10.0,2.0
A car.,1,10,10,7,10.0,10.0,3.0
A scissors.,0,5,10,10,0.0,10.0,0.0
A scissors.,0,0,10,10,10.0,10.0,1.0
A scissors.,2,10,10,10,10.0,10.0,2.0
A scissors.,5,10,10,10,10.0,10.0,3.0
A truck.,0,0,7,10,10.0,10.0,0.0
A truck.,8,0,8,10,10.0,10.0,1.0
A truck.,0,2,10,10,10.0,10.0,2.0
A truck.,0,7,10,10,10.0,10.0,3.0
A parking meter.,0,0,1,10,10.0,10.0,0.0
A parking meter.,1,0,10,10,10.0,10.0,1.0
A parking meter.,0,0,10,10,0.0,10.0,2.0
A parking meter.,0,0,0,0,10.0,10.0,3.0
A dog.,8,10,8,10,0.0,0.0,0.0
A dog.,6,9,0,6,0.0,10.0,1.0
A dog.,6,8,10,10,10.0,10.0,2.0
A dog.,4,8,"I'm sorry, but I can't assist with that request",10,10.0,10.0,3.0
A fork.,5,10,10,10,10.0,10.0,0.0
A fork.,2,10,10,10,10.0,10.0,1.0
A fork.,1,10,10,10,10.0,10.0,2.0
A fork.,2,10,10,10,10.0,10.0,3.0
A lion.,2,0,8,10,10.0,10.0,0.0
A lion.,0,1,8,10,10.0,10.0,1.0
A lion.,1,5,0,0,10.0,10.0,2.0
A lion.,0,0,3,10,0.0,10.0,3.0
A couch.,0,8,10,10,10.0,10.0,0.0
A couch.,1,10,10,10,10.0,10.0,1.0
A couch.,6,10,10,10,10.0,10.0,2.0
A couch.,0,10,10,10,10.0,10.0,3.0
A sheep.,0,0,0,10,10.0,10.0,0.0
A sheep.,0,0,7,0,10.0,10.0,1.0
A sheep.,0,10,8,10,8.0,10.0,2.0
A sheep.,0,5,8,10,10.0,10.0,3.0
A turtle.,0,8,10,10,10.0,10.0,0.0
A turtle.,0,10,10,10,10.0,10.0,1.0
A turtle.,2,10,10,10,10.0,10.0,2.0
A turtle.,0,10,10,10,10.0,10.0,3.0
A cockroach.,0,0,10,10,10.0,10.0,0.0
A cockroach.,0,10,10,10,10.0,10.0,1.0
A cockroach.,0,0,0,0,10.0,10.0,2.0
A cockroach.,0,8,10,10,10.0,10.0,3.0
A sweet pepper.,1,0,8,10,10.0,0.0,0.0
A sweet pepper.,1,10,8,10,9.0,10.0,1.0
A sweet pepper.,0,0,8,8,10.0,10.0,2.0
A sweet pepper.,0,0,10,10,10.0,10.0,3.0
