prompt,3,7,11,15,19,23,seed
A mushroom on a cloud.,1,0,0,0,1,0,3
A teddy bear on a road.,0,3,0,10,10,8,0
A teddy bear on a road.,2,0,8,2,10,10,1
A teddy bear on a road.,2,7,0,0,10,10,2
A teddy bear on a road.,1,1,4,10,10,10,3
A bee on a surfboard.,0,1,0,8,7,10,0
A bee on a surfboard.,0,0,4,1,10,10,1
A bee on a surfboard.,0,6,0,10,10,1,2
A bee on a surfboard.,0,0,0,10,7,10,3
An apple on a leopard.,0,1,0,0,10,0,0
An apple on a leopard.,0,1,1,0,0,8,1
An apple on a leopard.,0,0,0,5,10,8,2
An apple on a leopard.,2,0,0,0,0,10,3
A cup on a table.,0,10,8,8,2,10,0
A cup on a table.,1,8,3,10,10,10,1
A cup on a table.,5,2,4,10,10,10,2
A cup on a table.,1,0,7,10,10,10,3
A laptop on a bridge.,0,0,0,0,1,5,0
A laptop on a bridge.,1,0,9,0,0,10,1
A laptop on a bridge.,0,10,10,0,10,10,2
A laptop on a bridge.,1,0,0,2,1,5,3
A fox on a boat.,0,0,0,2,3,10,0
A fox on a boat.,0,1,7,5,10,10,1
A fox on a boat.,1,1,1,10,3,10,2
A fox on a boat.,0,0,0,1,2,10,3
A banana on a leopard.,0,0,0,10,0,10,0
A banana on a leopard.,0,0,0,0,0,10,1
A banana on a leopard.,0,1,1,1,8,10,2
A banana on a leopard.,1,0,0,10,6,10,3
A baseball glove on a cloud.,0,1,0,1,0,10,0
A baseball glove on a cloud.,0,0,0,1,10,10,1
A baseball glove on a cloud.,1,0,0,0,0,10,2
A baseball glove on a cloud.,0,0,0,2,5,0,3
A rose on a whale.,0,0,0,0,0,10,0
A rose on a whale.,0,0,0,0,0,10,1
A rose on a whale.,0,0,0,0,0,10,2
A rose on a whale.,0,0,1,0,9,5,3
A caterpillar on a bridge.,0,0,0,1,0,0,0
A caterpillar on a bridge.,0,0,0,0,1,10,1
A caterpillar on a bridge.,1,0,1,0,10,0,2
A caterpillar on a bridge.,1,1,0,4,2,1,3
A kangaroo on a cloud.,0,1,0,0,0,0,0
A kangaroo on a cloud.,0,0,0,1,10,5,1
A kangaroo on a cloud.,0,0,0,8,0,0,2
A kangaroo on a cloud.,0,0,0,2,7,0,3
A lion on a leopard.,llf,llf,llf,llf,llf,0,0
A lion on a leopard.,llf,llf,llf,llf,llf,0,1
A lion on a leopard.,llf,llf,llf,llf,llf,0,2
A lion on a leopard.,llf,llf,llf,llf,llf,0,3
A zebra on a camel.,llf,llf,llf,llf,llf,0,0
A zebra on a camel.,llf,llf,llf,llf,llf,0,1
A zebra on a camel.,llf,llf,llf,llf,llf,0,2
A zebra on a camel.,llf,llf,llf,llf,llf,0,3
A sandwich on a whale.,llf,llf,llf,llf,llf,10,0
A sandwich on a whale.,llf,llf,llf,llf,llf,4,1
A sandwich on a whale.,llf,llf,llf,llf,llf,0,2
A sandwich on a whale.,llf,llf,llf,llf,llf,0,3
A spider on a couch.,0,0,2,10,7,10,0
A spider on a couch.,0,2,8,10,10,8,1
A spider on a couch., 0,2,0,10,2,10,2
A spider on a couch.,1,0,1,9,8,0,3
A baseball bat on a plate.,0,0,0,5,3,0,0
A baseball bat on a plate.,1,0,0,2,1,0,1
A baseball bat on a plate.,0,0,0,0,0,10,2
A baseball bat on a plate.,0,0,0,0,6,6,3
A pear on a bench.,2,0,7,10,10,10,0
A pear on a bench.,1,6,10,10,10,10,1
A pear on a bench.,1,0,7,10,7,10,2
A pear on a bench.,3,3,10,10,10,10,3
A pear on a dolphin.,0,0,0,0,1,4,0
A pear on a dolphin.,0,0,0,0,0,10,1
A pear on a dolphin.,0,0,0,0,6,0,2
A pear on a dolphin.,0,0,0,0,0,0,3
A dog on a surfboard.,0,4,1,10,10,10,0
A dog on a surfboard.,1,0,4,10,10,10,1
A dog on a surfboard.,1,0,10,10,10,10,2
A dog on a surfboard.,0,0,0,10,10,10,3
A bee on a suitcase.,1,0,0,8,10,10,0
A bee on a suitcase.,1,1,6,10,7,9,1
A bee on a suitcase.,1,6,0,10,10,10,2
A bee on a suitcase.,4,10,2,10,10,10,3
A sunflower on a leopard.,0,0,0,5,3,9,0
A sunflower on a leopard.,0,0,0,5,0,10,1
A sunflower on a leopard.,0,0,2,1,0,8,2
A sunflower on a leopard.,0,1,0,0,0,10,3
A tulip on a whale.,1,1,0,0,4,0,0
A tulip on a whale.,0,0,0,5,0,3,1
A tulip on a whale.,1,0,0,0,7,6,2
A tulip on a whale.,0,2,1,0,0,1,3
A bowl on a whale.,5,1,0,10,0,0,0
A bowl on a whale.,0,0,0,0,0,10,1
A bowl on a whale.,0,0,0,10,0,2,2
A bowl on a whale.,1,1,0,0,0,0,3
An elephant on a couch.,0,0,0,10,0,0,0
An elephant on a couch.,0,2,0,8,10,10,1
An elephant on a couch.,0,5,0,10,10,10,2
An elephant on a couch.,0,0,0,10,0,10,3
A fork on a leopard.,llf,llf,llf,llf,llf,0,0
A fork on a leopard.,llf,llf,llf,llf,llf,0,1
A fork on a leopard.,llf,llf,llf,llf,llf,0,2
A fork on a leopard.,llf,llf,llf,llf,llf,0,3
A squirrel on a refrigerator.,0,1,1,8,10,10,0
A squirrel on a refrigerator.,0,0,10,10,10,10,1
A squirrel on a refrigerator.,0,0,0,0,0,10,2
A squirrel on a refrigerator.,0,1,0,1,10,10,3
A knife on a dinosaur.,0,0,0,0,0,0,0
A knife on a dinosaur.,0,0,0,0,0,7,1
A knife on a dinosaur.,0,0,0,0,0,5,2
A knife on a dinosaur.,1,6,2,0,1,0,3
A bottle on a couch.,0,1,10,10,9,10,0
A bottle on a couch.,0,0,0,10,10,10,1
A bottle on a couch.,0,1,0,7,7,10,2
A bottle on a couch.,2,0,7,10,10,8,3
A fork on a suitcase.,2,0,0,10,10,7,0
A fork on a suitcase.,0,10,1,10,10,0,1
A fork on a suitcase.,1,0,0,10,4,10,2
A fork on a suitcase.,1,0,10,10,10,10,3
A baseball glove on a leopard.,0,0,0,0,0,5,0
A baseball glove on a leopard.,0,1,0,0,0,0,1
A baseball glove on a leopard.,0,0,0,0,0,0,2
A baseball glove on a leopard.,0,0,0,0,0,6,3
A knife on a television.,0,0,0,0,0,10,0
A knife on a television.,1,0,0,0,0,10,1
A knife on a television.,0,0,0,0,0,10,2
A knife on a television.,1,0,0,0,0,0,3
A lamp on a snowboard.,llf,llf,llf,llf,llf,0,0
A lamp on a snowboard.,llf,llf,llf,llf,llf,0,1
A lamp on a snowboard.,llf,llf,llf,llf,llf,1,2
A lamp on a snowboard.,llf,llf,llf,llf,llf,0,3
A raccoon on a leopard.,llf,llf,llf,llf,llf,0,0
A raccoon on a leopard.,llf,llf,llf,llf,llf,0,1
A raccoon on a leopard.,llf,llf,llf,llf,llf,0,2
A raccoon on a leopard.,llf,llf,llf,llf,llf,0,3
A wolf on a snowboard.,0,1,0,10,0,0,0
A wolf on a snowboard.,0,6,6,0,0,0,1
A wolf on a snowboard.,0,0,0,0,5,10,2
A wolf on a snowboard.,0,0,10,10,0,5,3
A sheep on a bench.,0,8,10,10,4,0,0
A sheep on a bench.,6,0,10,4,10,10,1
A sheep on a bench.,1,1,10,7,0,9,2
A sheep on a bench.,0,6,0,10,5,0,3
A book on a car.,0,1,0,1,0,10,0
A book on a car.,1,0,6,0,8,10,1
A book on a car.,0,0,0,10,0,8,2
A book on a car.,1,0,0,7,10,10,3
An orchid on a table.,0,2,5,5,10,7,0
An orchid on a table.,0,3,5,8,0,10,1
An orchid on a table.,0,2,1,2,7,10,2
An orchid on a table.,0,4,5,10,9,10,3
A broccoli on a dolphin.,0,0,0,0,1,5,0
A broccoli on a dolphin.,0,0,10,0,9,10,1
A broccoli on a dolphin.,0,0,7,0,10,10,2
A broccoli on a dolphin.,0,0,0,0,10,10,3
A snake on a cloud.,1,0,1,2,10,10,0
A snake on a cloud.,0,0,0,0,10,0,1
A snake on a cloud.,0,0,0,0,0,4,2
A snake on a cloud.,0,0,0,8,8,10,3
A pear on a bicycle.,1,1,8,10,6,10,0
A pear on a bicycle.,0,0,0,6,8,10,1
A pear on a bicycle.,0,1,0,0,0,10,2
A pear on a bicycle.,0,0,0,10,4,10,3
A stop sign on a bench.,0,0,0,5,0,1,0
A stop sign on a bench.,4,0,1,0,2,0,1
A stop sign on a bench.,0,1,0,0,10,5,2
A stop sign on a bench.,0,0,0,9,7,10,3
A stop sign on a car.,1,0,0,0,0,0,0
A stop sign on a car.,0,1,1,0,0,2,1
A stop sign on a car.,1,0,0,0,0,0,2
A stop sign on a car.,1,0,0,10,2,0,3
A wardrobe on a pickup truck.,llf,llf,llf,llf,llf,0,0
A wardrobe on a pickup truck.,llf,llf,llf,llf,llf,0,1
A wardrobe on a pickup truck.,llf,llf,llf,llf,llf,0,2
A wardrobe on a pickup truck.,llf,llf,llf,llf,llf,2,3
A chimpanzee on a chair.,0,7,0,7,10,10,0
A chimpanzee on a chair.,6,10,8,0,10,10,1
A chimpanzee on a chair.,0,0,10,10,10,10,2
A chimpanzee on a chair.,0,1,10,10,10,10,3
A stop sign on a table.,0,0,0,0,0,0,0
A stop sign on a table.,1,1,0,0,0,10,1
A stop sign on a table.,0,0,0,0,1,0,2
A stop sign on a table.,0,0,0,10,10,0,3
A bowl on a bridge.,1,1,0,0,0,10,0
A bowl on a bridge.,1,0,0,0,0,10,1
A bowl on a bridge.,5,1,2,1,10,10,2
A bowl on a bridge.,1,5,1,4,1,10,3
A raccoon on a truck.,0,0,0,5,10,10,0
A raccoon on a truck.,0,0,6,5,1,10,1
A raccoon on a truck.,1,0,5,10,1,8,2
A raccoon on a truck.,1,0,0,10,1,0,3
A pear on a chair.,0,0,0,10,10,10,0
A pear on a chair.,3,0,10,10,10,10,1
A pear on a chair.,2,0,0,0,10,10,2
A pear on a chair.,4,0,10,10,10,10,3
A frisbee on a cloud.,llf,llf,llf,llf,llf,0,0
A frisbee on a cloud.,llf,llf,llf,llf,llf,5,1
A frisbee on a cloud.,llf,llf,llf,llf,llf,4,2
A frisbee on a cloud.,llf,llf,llf,llf,llf,0,3
A lobster on a whale.,0,0,0,10,1,1,0
A lobster on a whale.,0,0,0,0,0,1,1
A lobster on a whale.,0,0,0,3,0,10,2
A lobster on a whale.,0,1,0,0,0,0,3
A mushroom on a car.,1,0,0,0,0,7,0
A mushroom on a car.,0,0,10,10,10,10,1
A mushroom on a car.,0,0,5,0,0,7,2
A mushroom on a car.,0,0,10,10,10,1,3
A sheep on a snowboard.,0,0,0,0,7,0,0
A sheep on a snowboard.,0,0,0,5,10,10,1
A sheep on a snowboard.,0,0,0,0,10,10,2
A sheep on a snowboard.,0,0,0,0,10,5,3
A baseball bat on a snowboard.,llf,llf,llf,llf,llf,1,0
A baseball bat on a snowboard.,llf,llf,llf,llf,llf,1,1
A baseball bat on a snowboard.,llf,llf,llf,llf,llf,0,2
A baseball bat on a snowboard.,llf,llf,llf,llf,llf,0,3
A baseball glove on a plate.,0,1,0,0,7,10,0
A baseball glove on a plate.,4,0,0,10,10,10,1
A baseball glove on a plate.,1,0,0,10,0,8,2
A baseball glove on a plate.,0,0,0,10,5,6,3
A remote on a snowboard.,0,4,1,0,1,10,0
A remote on a snowboard.,0,0,0,5,10,5,1
A remote on a snowboard.,0,0,0,5,10,10,2
A remote on a snowboard.,0,0,0,0,1,8,3
A kite on a table.,0,0,1,0,8,10,0
A kite on a table.,0,1,0,0,8,10,1
A kite on a table.,1,0,3,2,7,10,2
A kite on a table.,0,3,1,10,9,1,3
A clock on a train.,0,0,0,2,7,9,0
A clock on a train.,0,0,0,0,0,10,1
A clock on a train.,0,1,0,1,9,1,2
A clock on a train.,1,0,0,0,10,0,3
A tv on a bridge.,0,0,0,10,1,4,0
A tv on a bridge.,1,0,10,4,5,5,1
A tv on a bridge.,1,0,0,0,1,5,2
A tv on a bridge.,0,0,0,5,1,10,3
A dog on a bridge.,2,6,10,10,10,10,0
A dog on a bridge.,1,0,0,10,10,10,1
A dog on a bridge.,2,10,0,0,10,10,2
A dog on a bridge.,1,1,10,10,0,10,3
A book on a surfboard.,0,0,0,1,0,0,0
A book on a surfboard.,1,1,0,0,10,0,1
A book on a surfboard.,0,0,1,0,0,0,2
A book on a surfboard.,0,0,0,0,10,5,3
A can on a bridge.,0,0,0,1,10,0,0
A can on a bridge.,0,0,4,10,0,10,1
A can on a bridge.,1,1,0,0,0,10,2
A can on a bridge.,1,1,0,0,10,7,3
A knife on a leopard.,0,0,0,0,10,10,0
A knife on a leopard.,0,0,0,0,7,0,1
A knife on a leopard.,0,1,1,0,0,0,2
A knife on a leopard.,0,1,0,0,10,0,3
A boy on a bicycle.,0,2,4,7,10,8,0
A boy on a bicycle.,2,0,8,7,8,10,1
A boy on a bicycle.,0,0,2,5,10,8,2
A boy on a bicycle.,0,0,0,0,5,10,3
A porcupine on a mountain.,0,0,1,1,1,10,0
A porcupine on a mountain.,1,2,0,0,3,7,1
A porcupine on a mountain.,0,1,0,1,3,7,2
A porcupine on a mountain.,0,1,1,1,1,7,3
A bottle on a mountain.,1,1,0,0,10,10,0
A bottle on a mountain.,1,0,"0
",0,7,10,1
A bottle on a mountain.,0,0,0,1,10,10,2
A bottle on a mountain.,1,3,0,10,2,10,3
A lizard on a palm tree.,0,8,0,10,7,10,0
A lizard on a palm tree.,0,0,0,0,1,10,1
A lizard on a palm tree.,0,1,0,1,1,10,2
A lizard on a palm tree.,0,0,0,0,10,7,3
A microwave on a table.,1,0,8,10,10,10,0
A microwave on a table.,0,8,10,2,5,10,1
A microwave on a table.,0,0,10,10,10,10,2
A microwave on a table.,1,7,7,10,7,1,3
A crocodile on a bridge.,0,0,1,0,1,10,0
A crocodile on a bridge.,0,1,2,3,0,10,1
A crocodile on a bridge.,0,1,10,0,10,10,2
A crocodile on a bridge.,0,0,3,1,1,0,3
A bag on a couch.,1,5,2,3,0,10,0
A bag on a couch.,0,0,10,10,10,10,1
A bag on a couch.,0,0,0,10,10,7,2
A bag on a couch.,1,6,0,10,10,10,3
