prompt,0,4,8,12,16,20,24,seed
An orange oak tree.,1,1,1,1,1,0,0,0
An orange oak tree.,1,1,1,1,1,0,1,1
An orange oak tree.,1,1,1,0,0,0,1,2
An orange oak tree.,0,1,1,0,1,0,1,3
A yellow chair.,0,0,1,1,1,0,1,0
A yellow chair.,1,0,1,1,1,1,1,1
A yellow chair.,0,0,1,1,1,1,1,2
A yellow chair.,1,0,1,1,1,1,1,3
A green lobster.,0,0,1,1,1,1,1,0
A green lobster.,0,1,1,1,1,1,1,1
A green lobster.,0,0,1,1,1,1,1,2
A green lobster.,0,1,1,1,1,1,0,3
A white bear.,0,0,1,1,1,1,1,0
A white bear.,1,0,1,1,1,1,1,1
A white bear.,1,0,1,1,1,1,1,2
A white bear.,0,1,1,1,1,1,1,3
A purple snake.,0,0,0,1,1,1,1,0
A purple snake.,0,0,1,1,0,1,1,1
A purple snake.,1,0,1,1,1,0,1,2
A purple snake.,1,0,0,1,1,0,1,3
A pink cup.,1,1,1,1,1,1,1,0
A pink cup.,0,0,1,1,1,1,1,1
A pink cup.,0,1,1,1,1,1,1,2
A pink cup.,1,0,1,1,1,0,1,3
A red palm tree.,0,1,1,1,1,1,1,0
A red palm tree.,0,0,1,0,1,1,1,1
A red palm tree.,0,1,1,1,1,0,1,2
A red palm tree.,0,0,0,1,1,0,1,3
A brown car.,0,0,1,1,1,1,1,0
A brown car.,1,0,1,1,1,1,1,1
A brown car.,0,0,1,0,1,1,1,2
A brown car.,0,0,0,1,1,1,1,3
A white broccoli.,0,0,0,0,0,1,1,0
A white broccoli.,0,0,0,0,0,0,1,1
A white broccoli.,0,0,0,0,0,0,0,2
A white broccoli.,0,0,1,0,0,1,1,3
A pink cloud.,1,0,0,1,1,1,1,0
A pink cloud.,0,0,0,1,1,1,1,1
A pink cloud.,0,0,0,1,1,1,1,2
A pink cloud.,0,0,0,1,1,0,1,3
A pink knife.,0,0,1,0,1,1,1,0
A pink knife.,0,0,0,1,1,1,1,1
A pink knife.,0,0,0,1,1,0,1,2
A pink knife.,0,0,0,0,1,1,1,3
A green fox.,0,0,0,1,1,1,1,0
A green fox.,0,0,1,0,1,1,1,1
A green fox.,0,0,1,0,0,1,1,2
A green fox.,0,0,0,1,1,1,1,3
A yellow whale.,0,0,1,0,0,0,0,0
A yellow whale.,0,0,1,0,0,0,0,1
A yellow whale.,0,0,0,0,0,0,0,2
A yellow whale.,0,0,0,1,0,0,0,3
A green snail.,0,0,0,0,0,1,1,0
A green snail.,0,0,1,0,0,1,1,1
A green snail.,1,0,1,0,1,0,1,2
A green snail.,0,0,1,0,0,0,1,3
A green fire hydrant.,0,0,1,1,1,1,1,0
A green fire hydrant.,0,0,1,1,1,1,1,1
A green fire hydrant.,0,0,1,1,1,1,1,2
A green fire hydrant.,0,0,1,1,1,1,1,3
An orange hamster.,0,0,0,0,1,1,1,0
An orange hamster.,0,0,1,0,0,1,1,1
An orange hamster.,0,0,0,0,1,1,1,2
An orange hamster.,0,0,0,0,0,1,1,3
A purple forest.,1,1,1,1,1,1,1,0
A purple forest.,1,1,1,1,1,1,1,1
A purple forest.,1,1,1,1,1,1,1,2
A purple forest.,1,1,1,1,1,1,1,3
A purple road.,0,1,1,1,1,1,1,0
A purple road.,0,1,1,1,1,0,1,1
A purple road.,0,0,0,1,1,0,0,2
A purple road.,0,0,0,1,1,1,1,3
A green teddy bear.,0,1,1,1,1,1,1,0
A green teddy bear.,1,1,1,1,1,1,1,1
A green teddy bear.,0,1,1,1,1,1,1,2
A green teddy bear.,0,1,1,1,1,1,1,3
A blue tractor.,0,0,1,1,1,1,1,0
A blue tractor.,0,0,1,1,1,1,1,1
A blue tractor.,0,0,1,1,1,1,1,2
A blue tractor.,0,0,1,0,1,1,1,3
A yellow suitcase.,0,0,1,1,1,1,1,0
A yellow suitcase.,0,0,1,1,1,1,1,1
A yellow suitcase.,0,0,1,1,1,1,1,2
A yellow suitcase.,0,0,1,1,1,1,1,3
A yellow dolphin.,1,1,1,0,0,1,1,0
A yellow dolphin.,1,0,1,0,0,0,1,1
A yellow dolphin.,0,0,0,0,0,0,1,2
A yellow dolphin.,0,0,0,1,0,1,1,3
A red worm.,0,0,0,0,1,1,1,0
A red worm.,0,0,0,0,1,1,1,1
A red worm.,0,0,1,1,1,1,1,2
A red worm.,0,0,0,1,1,1,1,3
A red bowl.,1,0,1,1,1,1,1,0
A red bowl.,0,1,1,1,1,1,1,1
A red bowl.,0,1,1,1,1,1,1,2
A red bowl.,1,1,1,1,1,1,1,3
A white bed.,1,0,1,1,1,1,1,0
A white bed.,1,0,1,1,1,1,1,1
A white bed.,1,0,1,1,1,1,1,2
A white bed.,1,0,1,1,1,1,1,3
A yellow bed.,0,0,0,0,0,0,0,0
A yellow bed.,0,0,0,1,1,0,0,1
A yellow bed.,0,0,1,1,1,0,0,2
A yellow bed.,0,0,0,1,0,0,0,3
