prompt,3,7,11,15,19,23,seed
A pink cloud.,0,0,0,1,1,1,0
A pink cloud.,0,0,0,0,1,1,1
A pink cloud.,0,0,0,0,1,1,2
A pink cloud.,0,0,0,1,1,1,3
A pink knife.,0,0,0,0,0,1,0
A pink knife.,0,0,0,0,1,1,1
A pink knife.,0,1,0,0,0,1,2
A pink knife.,0,0,0,1,0,1,3
A green fox.,0,1,1,1,1,1,0
A green fox.,0,0,1,1,1,1,1
A green fox.,0,0,0,1,1,1,2
A green fox.,0,1,1,1,1,1,3
A yellow whale.,0,0,0,0,0,1,0
A yellow whale.,0,0,0,0,0,1,1
A yellow whale.,0,0,0,0,0,1,2
A yellow whale.,0,0,0,0,0,1,3
A green snail.,0,0,0,0,0,1,0
A green snail.,0,0,0,0,0,1,1
A green snail.,0,0,0,0,0,1,2
A green snail.,0,0,0,0,0,1,3
A green fire hydrant.,0,0,0,0,1,1,0
A green fire hydrant.,0,0,0,0,1,1,1
A green fire hydrant.,0,0,1,0,0,1,2
A green fire hydrant.,0,0,0,0,0,1,3
An orange hamster.,0,0,1,0,0,1,0
An orange hamster.,0,0,0,0,1,1,1
An orange hamster.,0,0,0,0,0,1,2
An orange hamster.,0,0,0,1,0,1,3
A purple forest.,0,0,0,0,1,1,0
A purple forest.,0,0,0,1,0,1,1
A purple forest.,0,0,0,0,0,1,2
A purple forest.,0,0,0,1,0,1,3
A purple road.,0,0,0,0,0,1,0
A purple road.,0,0,0,1,0,1,1
A purple road.,0,0,0,0,0,1,2
A purple road.,0,0,0,0,0,1,3
A green teddy bear.,0,0,0,0,0,1,0
A green teddy bear.,0,0,0,0,0,1,1
A green teddy bear.,0,0,0,0,1,1,2
A green teddy bear.,0,0,0,1,0,1,3
A blue tractor.,0,0,0,0,0,1,0
A blue tractor.,0,0,1,0,0,1,1
A blue tractor.,0,0,1,0,0,1,2
A blue tractor.,0,0,0,0,1,1,3
A yellow suitcase.,0,1,0,0,1,1,0
A yellow suitcase.,0,0,0,0,0,1,1
A yellow suitcase.,0,0,1,0,1,1,2
A yellow suitcase.,0,0,0,0,0,1,3
A yellow dolphin.,0,0,0,0,0,1,0
A yellow dolphin.,0,0,0,0,0,1,1
A yellow dolphin.,0,0,0,0,0,1,2
A yellow dolphin.,0,0,0,0,0,1,3
A red worm.,0,0,0,1,1,1,0
A red worm.,0,0,1,1,1,1,1
A red worm.,0,0,0,0,1,1,2
A red worm.,0,0,0,1,1,1,3
A red bowl.,0,0,0,0,0,1,0
A red bowl.,0,0,1,0,1,1,1
A red bowl.,0,0,0,0,0,1,2
A red bowl.,0,1,0,0,1,1,3
A white bed.,1,1,1,1,1,1,0
A white bed.,0,0,1,1,1,1,1
A white bed.,0,1,1,1,1,1,2
A white bed.,0,1,1,1,1,1,3
A yellow bed.,0,0,0,0,0,1,0
A yellow bed.,0,0,0,0,0,1,1
A yellow bed.,0,0,1,0,1,1,2
A yellow bed.,0,0,0,1,0,0,3
